1.035;0.473212; 1.39638
1.04;0.473805; 1.40109
1.045;0.474399; 1.4058
1.055;0.475594; 1.41521
1.06;0.476195; 1.41992
1.065;0.476798; 1.42462
1.07;0.477404; 1.42933
1.075;0.478011; 1.43403
1.08;0.478621; 1.43873
1.085;0.479233; 1.44344
1.09;0.479847; 1.44814
1.095;0.480464; 1.45284
1.105;0.481704; 1.46223
1.11;0.482327; 1.46693
1.115;0.482952; 1.47162
1.12;0.483579; 1.47632
1.125;0.484209; 1.48101
1.13;0.484841; 1.48571
1.135;0.485475; 1.4904
1.14;0.486112; 1.49509
1.145;0.48675; 1.49978
1.155;0.488034; 1.50915
1.16;0.488679; 1.51384
1.165;0.489326; 1.51853
1.17;0.489976; 1.52321
1.175;0.490628; 1.5279
1.18;0.491282; 1.53258
1.185;0.491938; 1.53726
1.19;0.492596; 1.54194
1.195;0.493257; 1.54662
1.205;0.494584; 1.55598
1.21;0.495251; 1.56066
1.215;0.495921; 1.56533
1.22;0.496592; 1.57001
1.225;0.497266; 1.57468
1.23;0.497942; 1.57936
1.235;0.49862; 1.58403
1.24;0.4993; 1.5887
1.245;0.499982; 1.59337
1.255;0.501354; 1.60271
1.26;0.502043; 1.60738
1.265;0.502734; 1.61204
1.27;0.503427; 1.61671
1.275;0.504122; 1.62137
1.28;0.50482; 1.62604
1.285;0.50552; 1.6307
1.29;0.506222; 1.63536
1.295;0.506926; 1.64002
1.305;0.508341; 1.64934
1.31;0.509052; 1.654
1.315;0.509765; 1.65865
1.32;0.51048; 1.66331
1.325;0.511197; 1.66796
1.33;0.511916; 1.67262
1.335;0.512638; 1.67727
1.34;0.513361; 1.68192
1.345;0.514087; 1.68657
1.355;0.515545; 1.69587
1.36;0.516278; 1.70052
1.365;0.517012; 1.70517
1.37;0.517749; 1.70982
1.375;0.518488; 1.71446
1.38;0.519229; 1.7191
1.385;0.519972; 1.72375
1.39;0.520717; 1.72839
1.395;0.521465; 1.73303
1.405;0.522966; 1.74231
1.41;0.52372; 1.74695
1.415;0.524476; 1.75159
1.42;0.525234; 1.75622
1.425;0.525994; 1.76086
1.43;0.526757; 1.76549
1.435;0.527522; 1.77013
1.44;0.528288; 1.77476
1.445;0.529057; 1.77939
1.455;0.530602; 1.78865
1.46;0.531377; 1.79328
1.465;0.532154; 1.79791
1.47;0.532934; 1.80254
1.475;0.533716; 1.80716
1.48;0.5345; 1.81179
1.485;0.535286; 1.81641
1.49;0.536074; 1.82104
1.495;0.536864; 1.82566
1.505;0.538451; 1.8349
1.51;0.539248; 1.83952
1.515;0.540047; 1.84414
1.52;0.540848; 1.84875
1.525;0.541651; 1.85337
1.53;0.542456; 1.85799
1.535;0.543264; 1.8626
1.54;0.544073; 1.86721
1.545;0.544885; 1.87183
1.555;0.546514; 1.88105
1.56;0.547332; 1.88566
1.565;0.548152; 1.89027
1.57;0.548975; 1.89488
1.575;0.549799; 1.89948
1.58;0.550625; 1.90409
